Material	PS	D	 Power	 Speed	Hatch 	LT	SS	GF	RD 
1.00	30.37	7.96	175.00	750.00	0.12	0.03	0.09	10.00	99.73
1.00	30.37	7.97	150.00	781.00	0.08	0.03	0.09	10.00	99.84
1.00	30.37	7.96	200.00	1042.00	0.08	0.03	0.09	10.00	99.70
1.00	30.37	7.97	150.00	446.00	0.14	0.03	0.09	10.00	99.84
1.00	30.37	7.92	200.00	595.00	0.14	0.03	0.09	10.00	99.27
1.00	30.00	7.43	70.00	1200.00	0.06	0.02	0.06	3.99	93.73
1.00	30.00	7.91	130.00	700.00	0.06	0.02	0.06	3.99	99.81
1.00	30.00	7.46	70.00	1200.00	0.06	0.02	0.06	3.99	94.07
1.00	30.00	7.91	130.00	700.00	0.06	0.02	0.06	3.99	99.75
1.00	38.00	7.85	180.40	821.60	0.07	0.02	0.08	20.00	98.31
1.00	38.00	7.87	269.60	821.60	0.07	0.02	0.08	20.00	98.62
1.00	38.00	7.84	180.40	1178.40	0.07	0.02	0.08	20.00	98.25
1.00	38.00	7.87	269.60	1178.40	0.07	0.02	0.08	20.00	98.63
1.00	38.00	7.87	180.40	821.60	0.11	0.02	0.08	20.00	98.61
1.00	38.00	7.86	269.60	821.60	0.11	0.02	0.08	20.00	98.53
1.00	38.00	7.84	180.40	1178.40	0.11	0.02	0.08	20.00	98.25
1.00	38.00	7.85	269.60	1178.40	0.11	0.02	0.08	20.00	98.38
1.00	38.00	7.85	150.00	1000.00	0.09	0.02	0.08	20.00	98.37
1.00	38.00	7.88	300.00	1000.00	0.09	0.02	0.08	20.00	98.71
1.00	38.00	7.88	225.00	700.00	0.09	0.02	0.08	20.00	98.73
1.00	38.00	7.85	225.00	1300.00	0.09	0.02	0.08	20.00	98.37
1.00	38.00	7.85	225.00	1000.00	0.06	0.02	0.08	20.00	98.43
1.00	38.00	7.85	225.00	1000.00	0.12	0.02	0.08	20.00	98.33
1.00	38.00	7.87	225.00	1000.00	0.09	0.02	0.08	20.00	98.65
1.00	38.00	7.87	225.00	1000.00	0.09	0.02	0.08	20.00	98.63
1.00	38.00	7.87	225.00	1000.00	0.09	0.02	0.08	20.00	98.62
1.00	38.00	7.87	225.00	1000.00	0.09	0.02	0.08	20.00	98.68
1.00	38.00	7.88	225.00	1000.00	0.09	0.02	0.08	20.00	98.71
1.00	38.00	7.87	225.00	1000.00	0.09	0.02	0.08	20.00	98.67
1.00	35.00	7.89	175.00	26.28	0.02	0.46	0.08	9.00	98.93
1.00	35.00	7.83	125.00	21.44	0.02	0.35	0.08	9.00	98.15
1.00	35.00	7.80	175.00	18.76	0.02	0.40	0.08	9.00	97.80
1.00	35.00	7.89	175.00	26.28	0.04	0.46	0.08	9.00	98.85
1.00	35.00	7.79	125.00	21.44	0.04	0.35	0.08	9.00	97.65
1.00	35.00	7.82	175.00	18.76	0.04	0.40	0.08	9.00	98.02
1.00	35.00	7.92	175.00	26.28	0.06	0.46	0.08	9.00	99.27
1.00	35.00	7.93	125.00	21.44	0.06	0.35	0.08	9.00	99.40
1.00	35.00	7.94	175.00	18.76	0.06	0.40	0.08	9.00	99.54
1.00	31.13	7.02	140.00	700.00	0.08	0.02	0.05	54.00	87.92
1.00	31.13	7.15	160.00	700.00	0.08	0.02	0.05	54.00	89.59
1.00	31.13	7.68	140.00	900.00	0.08	0.02	0.05	54.00	96.28
1.00	31.13	7.12	160.00	900.00	0.08	0.02	0.05	54.00	89.19
1.00	31.13	6.89	140.00	700.00	0.08	0.04	0.05	54.00	86.31
1.00	31.13	6.88	160.00	700.00	0.08	0.04	0.05	54.00	86.25
1.00	31.13	6.05	140.00	900.00	0.08	0.04	0.05	54.00	75.80
1.00	31.13	6.39	160.00	900.00	0.08	0.04	0.05	54.00	80.07
1.00	31.13	6.86	150.00	700.00	0.07	0.03	0.05	54.00	85.95
1.00	31.13	6.55	150.00	900.00	0.07	0.03	0.05	54.00	82.10
1.00	31.13	6.56	150.00	700.00	0.09	0.03	0.05	54.00	82.17
1.00	31.13	5.89	150.00	900.00	0.09	0.03	0.05	54.00	73.83
1.00	31.13	6.87	150.00	700.00	0.07	0.03	0.05	54.00	86.09
1.00	31.13	6.85	150.00	900.00	0.07	0.03	0.05	54.00	85.89
1.00	31.13	6.60	150.00	700.00	0.09	0.03	0.05	54.00	82.67
1.00	31.13	5.86	150.00	900.00	0.09	0.03	0.05	54.00	73.41
1.00	31.13	7.14	150.00	800.00	0.07	0.02	0.05	54.00	89.49
1.00	31.13	6.90	150.00	800.00	0.09	0.02	0.05	54.00	86.52
1.00	31.13	5.89	150.00	800.00	0.07	0.04	0.05	54.00	73.78
1.00	31.13	5.28	150.00	800.00	0.09	0.04	0.05	54.00	66.18
1.00	31.13	7.05	150.00	800.00	0.07	0.02	0.05	54.00	88.29
1.00	31.13	7.35	150.00	800.00	0.09	0.02	0.05	54.00	92.08
1.00	31.13	7.11	150.00	800.00	0.07	0.04	0.05	54.00	89.11
1.00	31.13	6.34	150.00	800.00	0.09	0.04	0.05	54.00	79.47
1.00	31.13	7.20	140.00	800.00	0.08	0.02	0.05	54.00	90.17
1.00	31.13	6.55	160.00	800.00	0.08	0.02	0.05	54.00	82.10
1.00	31.13	6.64	140.00	800.00	0.08	0.04	0.05	54.00	83.16
1.00	31.13	6.99	160.00	800.00	0.08	0.04	0.05	54.00	87.64
1.00	31.13	7.45	140.00	800.00	0.08	0.02	0.05	54.00	93.39
1.00	31.13	7.58	160.00	800.00	0.08	0.02	0.05	54.00	95.04
1.00	31.13	5.87	140.00	800.00	0.08	0.04	0.05	54.00	73.50
1.00	31.13	6.15	160.00	800.00	0.08	0.04	0.05	54.00	77.03
1.00	31.13	7.20	150.00	700.00	0.08	0.03	0.05	54.00	90.18
1.00	31.13	6.89	150.00	900.00	0.08	0.03	0.05	54.00	86.38
1.00	31.13	6.34	150.00	700.00	0.08	0.03	0.05	54.00	79.39
1.00	31.13	6.46	150.00	900.00	0.08	0.03	0.05	54.00	80.95
1.00	31.13	7.21	150.00	700.00	0.08	0.03	0.05	54.00	90.36
1.00	31.13	6.60	150.00	900.00	0.08	0.03	0.05	54.00	82.70
1.00	31.13	7.21	150.00	700.00	0.08	0.03	0.05	54.00	90.41
1.00	31.13	7.00	150.00	900.00	0.08	0.03	0.05	54.00	87.71
1.00	31.13	6.35	140.00	800.00	0.07	0.03	0.05	54.00	79.59
1.00	31.13	6.95	160.00	800.00	0.07	0.03	0.05	54.00	87.11
1.00	31.13	6.33	140.00	800.00	0.09	0.03	0.05	54.00	79.28
1.00	31.13	5.48	160.00	800.00	0.09	0.03	0.05	54.00	68.65
1.00	31.13	7.06	140.00	800.00	0.07	0.03	0.05	54.00	88.49
1.00	31.13	7.11	160.00	800.00	0.07	0.03	0.05	54.00	89.06
1.00	31.13	6.82	140.00	800.00	0.09	0.03	0.05	54.00	85.47
1.00	31.13	5.79	160.00	800.00	0.09	0.03	0.05	54.00	72.59
1.00	31.13	7.12	150.00	800.00	0.08	0.03	0.05	54.00	89.24
1.00	31.13	6.89	150.00	800.00	0.08	0.03	0.05	54.00	86.38
1.00	31.13	6.31	150.00	800.00	0.08	0.03	0.05	54.00	79.02
1.00	31.13	6.48	150.00	800.00	0.08	0.03	0.05	54.00	81.20
1.00	31.13	6.59	150.00	800.00	0.08	0.03	0.05	54.00	82.59
1.00	31.13	6.79	150.00	800.00	0.08	0.03	0.05	54.00	85.10
1.00	17.00	7.13	100.00	250.00	0.08	0.03	0.07	32.00	89.31
1.00	17.00	7.60	100.00	400.00	0.08	0.03	0.07	32.00	95.24
1.00	17.00	6.86	100.00	550.00	0.08	0.03	0.07	32.00	85.93
1.00	17.00	6.86	100.00	700.00	0.08	0.03	0.07	32.00	85.93
1.00	17.00	7.69	120.00	300.00	0.08	0.03	0.07	32.00	96.35
1.00	17.00	7.72	120.00	500.00	0.08	0.03	0.07	32.00	96.72
1.00	17.00	7.08	120.00	700.00	0.08	0.03	0.07	32.00	88.74
1.00	17.00	6.88	120.00	900.00	0.08	0.03	0.07	32.00	86.27
1.00	17.00	7.89	150.00	400.00	0.08	0.03	0.07	32.00	98.93
1.00	17.00	7.60	150.00	700.00	0.08	0.03	0.07	32.00	95.23
1.00	17.00	7.00	150.00	1000.00	0.08	0.03	0.07	32.00	87.78
1.00	17.00	6.35	150.00	1300.00	0.08	0.03	0.07	32.00	79.53
1.00	17.00	7.71	150.00	700.00	0.06	0.03	0.07	32.00	96.64
1.00	17.00	7.72	150.00	700.00	0.07	0.03	0.07	32.00	96.68
1.00	17.00	7.54	150.00	700.00	0.09	0.03	0.07	32.00	94.53
1.00	17.00	7.14	150.00	700.00	0.10	0.03	0.07	32.00	89.50
1.00	17.00	7.59	150.00	350.00	0.08	0.03	0.07	32.00	95.12
1.00	17.00	7.93	150.00	400.00	0.08	0.03	0.07	32.00	99.35
1.00	17.00	7.84	150.00	450.00	0.08	0.03	0.07	32.00	98.23
1.00	17.00	7.81	150.00	500.00	0.08	0.03	0.07	32.00	97.87
1.00	17.00	7.71	150.00	550.00	0.08	0.03	0.07	32.00	96.61
1.00	17.00	7.67	150.00	600.00	0.08	0.03	0.07	32.00	96.13
1.00	17.00	7.62	150.00	700.00	0.08	0.03	0.07	32.00	95.54
1.00	17.00	7.43	150.00	800.00	0.08	0.03	0.07	32.00	93.13
1.00	17.00	7.43	150.00	400.00	0.06	0.03	0.07	32.00	93.16
1.00	17.00	7.58	150.00	400.00	0.07	0.03	0.07	32.00	95.05
1.00	17.00	7.88	150.00	400.00	0.09	0.03	0.07	32.00	98.76
1.00	17.00	7.81	150.00	400.00	0.10	0.03	0.07	32.00	97.87
1.00	17.00	7.84	150.00	600.00	0.06	0.03	0.07	32.00	98.23
1.00	17.00	7.71	150.00	600.00	0.07	0.03	0.07	32.00	96.64
1.00	17.00	7.63	150.00	600.00	0.09	0.03	0.07	32.00	95.56
1.00	17.00	7.52	150.00	600.00	0.10	0.03	0.07	32.00	94.26
1.00	23.60	7.78	140.00	1000.00	0.08	0.02	0.08	3.98	97.49
1.00	23.60	7.84	160.00	800.00	0.07	0.03	0.08	3.98	98.23
1.00	23.60	7.45	140.00	1200.00	0.06	0.03	0.08	3.98	93.33
1.00	23.60	7.52	160.00	1000.00	0.07	0.04	0.08	3.98	94.29
1.00	23.60	7.41	140.00	1000.00	0.06	0.04	0.08	3.98	92.86
1.00	23.60	7.69	140.00	800.00	0.08	0.03	0.08	3.98	96.37
1.00	23.60	7.58	140.00	1000.00	0.07	0.03	0.08	3.98	94.93
1.00	23.60	7.67	140.00	1200.00	0.07	0.02	0.08	3.98	96.10
1.00	23.60	7.58	120.00	800.00	0.07	0.03	0.08	3.98	94.94
1.00	23.60	7.75	140.00	800.00	0.06	0.03	0.08	3.98	97.06
1.00	23.60	7.68	160.00	1000.00	0.08	0.03	0.08	3.98	96.20
1.00	23.60	7.73	160.00	1000.00	0.06	0.03	0.08	3.98	96.91
1.00	23.60	7.30	140.00	1200.00	0.08	0.03	0.08	3.98	91.52
1.00	23.60	7.15	120.00	1000.00	0.07	0.04	0.08	3.98	89.61
1.00	23.60	7.86	140.00	800.00	0.07	0.02	0.08	3.98	98.44
1.00	23.60	7.56	140.00	1000.00	0.07	0.03	0.08	3.98	94.68
1.00	23.60	7.47	120.00	1000.00	0.06	0.03	0.08	3.98	93.57
1.00	23.60	7.33	140.00	1000.00	0.08	0.04	0.08	3.98	91.85
1.00	23.60	7.56	140.00	800.00	0.07	0.04	0.08	3.98	94.72
1.00	23.60	7.54	140.00	1000.00	0.07	0.03	0.08	3.98	94.53
1.00	23.60	7.12	140.00	1200.00	0.07	0.04	0.08	3.98	89.25
1.00	23.60	7.84	160.00	1000.00	0.07	0.02	0.08	3.98	98.28
1.00	23.60	7.24	120.00	1200.00	0.07	0.03	0.08	3.98	90.70
1.00	23.60	7.53	160.00	1200.00	0.07	0.03	0.08	3.98	94.34
1.00	23.60	7.27	120.00	1000.00	0.08	0.03	0.08	3.98	91.12
1.00	23.60	7.80	140.00	1000.00	0.06	0.02	0.08	3.98	97.73
1.00	23.60	7.67	120.00	1000.00	0.07	0.02	0.08	3.98	96.12
1.00	35.50	7.69	125.00	100.00	0.12	0.03	0.07	39.99	96.35
1.00	35.50	7.72	125.00	200.00	0.12	0.03	0.07	39.99	96.79
1.00	35.50	7.91	125.00	400.00	0.12	0.03	0.07	39.99	99.09
1.00	35.50	7.97	125.00	600.00	0.12	0.03	0.07	39.99	99.90
1.00	35.50	7.94	125.00	800.00	0.12	0.03	0.07	39.99	99.51
1.00	35.50	7.85	200.00	200.00	0.12	0.03	0.07	39.99	98.35
1.00	35.50	7.94	200.00	400.00	0.12	0.03	0.07	39.99	99.49
1.00	35.50	7.97	200.00	600.00	0.12	0.03	0.07	39.99	99.92
1.00	35.50	7.97	200.00	800.00	0.12	0.03	0.07	39.99	99.89
1.00	35.50	7.97	200.00	1000.00	0.12	0.03	0.07	39.99	99.88
1.00	35.50	7.97	200.00	1200.00	0.12	0.03	0.07	39.99	99.83
1.00	35.50	7.94	200.00	1400.00	0.12	0.03	0.07	39.99	99.44
1.00	35.50	7.71	200.00	1800.00	0.12	0.03	0.07	39.99	96.60
1.00	35.50	7.52	200.00	2200.00	0.12	0.03	0.07	39.99	94.23
1.00	35.50	7.20	200.00	2600.00	0.12	0.03	0.07	39.99	90.22
1.00	35.50	7.88	275.00	400.00	0.12	0.03	0.07	39.99	98.74
1.00	35.50	7.97	275.00	600.00	0.12	0.03	0.07	39.99	99.90
1.00	35.50	7.97	275.00	800.00	0.12	0.03	0.07	39.99	99.91
1.00	35.50	7.98	275.00	1000.00	0.12	0.03	0.07	39.99	99.98
1.00	35.50	7.96	275.00	1200.00	0.12	0.03	0.07	39.99	99.77
1.00	35.50	7.97	275.00	1400.00	0.12	0.03	0.07	39.99	99.87
1.00	35.50	7.95	275.00	1800.00	0.12	0.03	0.07	39.99	99.62
1.00	35.50	7.91	275.00	2200.00	0.12	0.03	0.07	39.99	99.09
1.00	35.50	7.70	275.00	2600.00	0.12	0.03	0.07	39.99	96.55
1.00	35.50	7.46	275.00	3000.00	0.12	0.03	0.07	39.99	93.52
1.00	35.50	7.96	350.00	600.00	0.12	0.03	0.07	39.99	99.74
1.00	35.50	7.97	350.00	800.00	0.12	0.03	0.07	39.99	99.93
1.00	35.50	7.97	350.00	1000.00	0.12	0.03	0.07	39.99	99.90
1.00	35.50	7.98	350.00	1200.00	0.12	0.03	0.07	39.99	99.98
1.00	35.50	7.96	350.00	1400.00	0.12	0.03	0.07	39.99	99.78
1.00	35.50	7.96	350.00	1800.00	0.12	0.03	0.07	39.99	99.71
1.00	35.50	7.94	350.00	2200.00	0.12	0.03	0.07	39.99	99.46
1.00	35.50	7.59	350.00	2600.00	0.12	0.03	0.07	39.99	95.09
1.00	35.50	7.53	350.00	3000.00	0.12	0.03	0.07	39.99	94.40
1.00	35.50	7.57	350.00	3400.00	0.12	0.03	0.07	39.99	94.90
1.00	35.50	7.98	200.00	800.00	0.08	0.03	0.07	39.99	99.98
1.00	35.50	7.98	200.00	800.00	0.10	0.03	0.07	39.99	99.99
1.00	35.50	7.98	200.00	800.00	0.12	0.03	0.07	39.99	99.97
1.00	35.50	7.97	200.00	800.00	0.14	0.03	0.07	39.99	99.91
1.00	35.50	7.97	200.00	800.00	0.16	0.03	0.07	39.99	99.84
1.00	30.00	7.90	150.00	498.50	0.10	0.05	0.07	36.00	98.93
1.00	30.00	7.89	150.00	498.50	0.10	0.05	0.07	36.00	98.92
1.00	30.00	7.92	150.00	420.23	0.12	0.05	0.07	36.00	99.27
1.00	30.00	7.91	150.00	420.23	0.12	0.05	0.07	36.00	99.12
1.00	30.00	7.92	150.00	513.61	0.10	0.05	0.07	36.00	99.19
1.00	30.00	7.90	150.00	513.61	0.10	0.05	0.07	36.00	99.05
1.00	30.00	7.93	200.00	560.30	0.12	0.05	0.07	36.00	99.36
1.00	30.00	7.93	200.00	560.30	0.12	0.05	0.07	36.00	99.31
1.00	30.00	7.94	200.00	684.81	0.10	0.05	0.07	36.00	99.49
1.00	30.00	7.93	200.00	684.81	0.10	0.05	0.07	36.00	99.35
1.00	30.00	7.94	200.00	658.22	0.10	0.05	0.07	36.00	99.46
1.00	30.00	7.94	200.00	658.22	0.10	0.05	0.07	36.00	99.46
1.00	30.00	7.93	150.00	350.92	0.08	0.05	0.07	36.00	99.31
1.00	30.00	7.87	150.00	350.92	0.08	0.05	0.07	36.00	98.65
1.00	30.00	7.92	150.00	251.09	0.12	0.05	0.07	36.00	99.24
1.00	30.00	7.83	150.00	251.09	0.12	0.05	0.07	36.00	98.08
1.00	30.00	7.92	150.00	303.40	0.10	0.05	0.07	36.00	99.27
1.00	30.00	7.92	150.00	303.40	0.10	0.05	0.07	36.00	99.22
1.00	30.00	7.92	200.00	377.04	0.10	0.05	0.07	36.00	99.26
1.00	30.00	7.94	200.00	377.04	0.10	0.05	0.07	36.00	99.50
1.00	30.00	7.94	200.00	510.99	0.08	0.05	0.07	36.00	99.52
1.00	30.00	7.93	200.00	510.99	0.08	0.05	0.07	36.00	99.41
1.00	30.00	7.88	200.00	320.95	0.12	0.05	0.07	36.00	98.72
1.00	30.00	7.90	200.00	320.95	0.12	0.05	0.07	36.00	98.93
1.00	30.00	7.83	150.00	157.23	0.11	0.05	0.07	36.00	98.13
1.00	30.00	7.58	150.00	157.23	0.11	0.05	0.07	36.00	95.00
1.00	30.00	7.85	150.00	183.15	0.09	0.05	0.07	36.00	98.31
1.00	30.00	7.77	150.00	183.15	0.09	0.05	0.07	36.00	97.32
1.00	30.00	7.73	150.00	219.30	0.08	0.05	0.07	36.00	96.92
1.00	30.00	7.77	150.00	219.30	0.08	0.05	0.07	36.00	97.37
1.00	30.00	7.94	200.00	296.30	0.08	0.05	0.07	36.00	99.46
1.00	30.00	7.93	200.00	296.30	0.08	0.05	0.07	36.00	99.36
1.00	30.00	7.55	200.00	238.95	0.09	0.05	0.07	36.00	94.65
1.00	30.00	7.82	200.00	238.95	0.09	0.05	0.07	36.00	98.02
1.00	30.00	7.92	200.00	233.92	0.10	0.05	0.07	36.00	99.21
1.00	30.00	7.81	200.00	233.92	0.10	0.05	0.07	36.00	97.88
1.00	26.00	7.00	30.00	300.00	0.05	0.03	0.05	29.99	87.72
1.00	26.00	6.60	60.00	1400.00	0.05	0.03	0.05	29.99	82.71
1.00	26.00	7.70	75.00	1050.00	0.05	0.03	0.05	29.99	96.49
1.00	26.00	7.70	90.00	1400.00	0.05	0.03	0.05	29.99	96.49
1.00	26.00	7.10	90.00	1400.00	0.05	0.04	0.05	29.99	88.97
1.00	26.00	7.40	107.00	1400.00	0.05	0.03	0.05	29.99	92.73
1.00	26.00	6.80	107.00	1400.00	0.05	0.04	0.05	29.99	85.21
1.00	26.00	7.80	107.00	1400.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	120.00	800.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	120.00	800.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	120.00	800.00	0.05	0.04	0.05	29.99	97.74
1.00	26.00	7.70	120.00	800.00	0.05	0.04	0.05	29.99	96.49
1.00	26.00	7.70	120.00	1100.00	0.05	0.03	0.05	29.99	96.49
1.00	26.00	7.80	120.00	1100.00	0.05	0.04	0.05	29.99	97.74
1.00	26.00	7.60	120.00	1100.00	0.05	0.04	0.05	29.99	95.24
1.00	26.00	7.70	120.00	1400.00	0.05	0.03	0.05	29.99	96.49
1.00	26.00	7.70	120.00	1400.00	0.05	0.03	0.05	29.99	96.49
1.00	26.00	7.80	120.00	1400.00	0.05	0.04	0.05	29.99	97.74
1.00	26.00	7.50	120.00	1400.00	0.05	0.04	0.05	29.99	93.98
1.00	26.00	7.80	120.00	1700.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.50	120.00	1700.00	0.05	0.03	0.05	29.99	93.98
1.00	26.00	7.40	120.00	1700.00	0.05	0.04	0.05	29.99	92.73
1.00	26.00	7.60	120.00	2000.00	0.05	0.03	0.05	29.99	95.24
1.00	26.00	7.80	160.00	1000.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	160.00	2000.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.90	180.00	1400.00	0.05	0.03	0.05	29.99	99.00
1.00	26.00	7.80	180.00	1400.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	180.00	1400.00	0.05	0.04	0.05	29.99	97.74
1.00	26.00	7.80	200.00	1400.00	0.05	0.03	0.05	29.99	97.74
1.00	26.00	7.80	240.00	2800.00	0.05	0.03	0.05	29.99	97.74
1.00	26.25	7.70	175.00	800.00	0.11	0.05	0.07	5.00	96.35
1.00	26.25	7.77	200.00	577.00	0.11	0.05	0.07	5.00	97.23
1.00	26.25	7.85	200.00	750.00	0.11	0.05	0.07	5.00	98.21
1.00	26.25	7.25	150.00	800.00	0.11	0.05	0.07	5.00	90.78
1.00	26.25	7.79	200.00	698.00	0.11	0.05	0.07	5.00	97.50
1.00	27.82	7.95	150.00	500.00	0.08	0.03	0.10	25.00	99.62
1.00	27.82	7.95	150.00	700.00	0.08	0.03	0.10	25.00	99.59
1.00	27.82	7.92	150.00	900.00	0.08	0.03	0.10	25.00	99.21
1.00	27.82	7.92	150.00	1100.00	0.08	0.03	0.10	25.00	99.28
1.00	27.82	7.96	175.00	500.00	0.08	0.03	0.10	25.00	99.73
1.00	27.82	7.97	175.00	700.00	0.08	0.03	0.10	25.00	99.93
1.00	27.82	7.97	175.00	900.00	0.08	0.03	0.10	25.00	99.88
1.00	27.82	7.88	175.00	1100.00	0.08	0.03	0.10	25.00	98.76
1.00	27.82	7.71	200.00	500.00	0.08	0.03	0.10	25.00	96.64
1.00	27.82	7.95	200.00	700.00	0.08	0.03	0.10	25.00	99.66
1.00	27.82	7.96	200.00	900.00	0.08	0.03	0.10	25.00	99.71
1.00	27.82	7.93	200.00	1100.00	0.08	0.03	0.10	25.00	99.36
